File,|SIJ|,RIJ,Coul,SAPT
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000840573,9.012828764,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.002009328,6.42278491,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000981688,7.856213746,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.003270842,8.879886301,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.034577414,4.988405679,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000761871,9.747676558,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.005348343,6.649307254,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,7.46E-05,8.10036247,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.031826937,6.039662938,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.001813032,7.185056655,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.004717595,8.180568044,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.001915557,7.377501761,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.001793539,8.777122394,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000202943,9.9113909,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.0026025,6.401462762,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000524305,11.43787733,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.001931344,8.901813425,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000371588,9.62340536,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000638064,11.33730831,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.004796901,7.363904396,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,5.38E-05,12.26545818,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000483767,9.090244594,-9.125365082,-11.1259
BBI-007VAL-041VAL-1-unCP-CCCONHHHHHHH-CCCONHHHHHHH-Disp8-EFP.log,0.000289853,10.26574422,-9.125365082,-11.1259
