File,|SIJ|,RIJ,Coul,SAPT
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.00152723,10.56936761,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.00020049,12.02836924,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000266234,11.89396164,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,2.51E-05,12.75297165,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000113304,13.57355564,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,8.09E-05,12.46994872,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.0016104,9.553835647,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000114799,13.0441194,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000181164,12.96029347,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.00030451,11.988734,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000135457,13.81854104,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.001436137,10.897751,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.001608056,9.938853877,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.0018458,9.607659272,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000366577,12.89184245,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000607977,9.515341966,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,1.79E-05,9.482012413,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000365002,11.59166419,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.005244809,7.700322314,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.001102801,10.32250647,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.002908264,8.795643713,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000880262,9.231678784,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000365839,8.424493327,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000173851,12.88207242,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,1.23E-05,10.90720275,-4.93322808,-4.8943
HSG-11-unCP-CONHCHHCONHHH-CNHHCOCHHHHH-Disp8-EFP.log,0.000159168,12.69110317,-4.93322808,-4.8943
