File,SIJ,RIJ,Coul,SAPT
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.004656033,8.514528832,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.010372549,5.805587979,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.002245052,7.481926198,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.082987975,4.057891969,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000371348,6.866923849,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.009811192,9.616811432,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.00217438,7.660678016,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.00678832,5.687173523,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.008797669,6.112842034,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.005052253,8.482662188,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.005215226,9.241856675,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.006512658,5.475512314,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,3.73E-05,11.66667218,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000840751,8.934690117,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000332067,10.84384119,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.004984747,7.31440968,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.001010398,9.657189578,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000607131,12.69287621,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000277099,10.75456481,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.00075225,8.977687731,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000464065,9.231299102,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000266681,11.53419431,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000606548,12.41738587,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.002031827,8.768856101,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000206013,12.94491413,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,3.05E-05,10.75591437,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000120528,13.16705873,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.004441942,9.35387234,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000443102,10.55629128,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000276823,13.94249181,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000174627,13.49079082,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,5.45E-05,11.26849361,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000690671,12.10136075,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.00018712,12.97638624,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,6.22E-05,13.94506711,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000127168,10.51093387,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000107583,13.25840935,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000527713,10.5098203,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000177164,12.50991178,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.001969163,8.960689311,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000250584,11.16115421,-9.691627823,-11.7248
UBQ-ala28-asp32-unCP-CHCONHHHH-CONHCHHHH-Disp8-EFP.log,0.000163171,14.23503391,-9.691627823,-11.7248
